Celebrity,Professional,Dance,Song,Series,Week,Order,Craig,Arlene,Len,Bruno,Alesha,Darcey,Jennifer,Donny,Total
Lesley Joseph,Anton du Beke,Waltz,What’ll I Do,14,1,4,5,0,6,6,0,6,0,0,23
Ore Oduba,Joanne Clifton,Tango,Geronimo,14,1,5,7,0,6,7,0,7,0,0,27
Greg Rutherford,Natalie Lowe,Jive,Get Ready,14,1,6,6,0,7,7,0,7,0,0,27
Louise Redknapp,Kevin Clifton,Jive,"Jump, Jive and Wail",14,1,7,8,0,8,8,0,7,0,0,31
Melvin Odoom,Janette Manrara,Cha-cha-cha,Loco In Acapulco,14,1,8,4,0,6,6,0,6,0,0,22
Daisy Lowe,Aljaž Skorjanec,Waltz,Unforgettable,14,1,9,7,0,9,8,0,8,0,0,32
Danny Mac,Oti Mabuse,Cha-cha-cha,Cake By The Ocean,14,1,10,8,0,7,8,0,8,0,0,31
Tameka Empson,Gorka Márquez,Paso doble,El Gato Montes/Y Viva Espana,14,1,11,6,0,7,7,0,6,0,0,26
Anastacia,Brendan Cole,Cha-cha-cha,Lady Marmalade,14,1,12,8,0,7,6,0,7,0,0,28
Ed Balls,Katya Jones,Waltz,Are You Lonesome Tonight,14,1,13,5,0,6,5,0,5,0,0,21
Claudia Fragapane,AJ Pritchard,Cha-cha-cha,What Makes You Beautiful,14,1,14,6,0,7,7,0,6,0,0,26
Will Young,Karen Clifton,Tango,Let’s Dance,14,1,15,8,0,7,7,0,8,0,0,30
Ore Oduba,Joanne Clifton,Cha-cha-cha,Hot Stuff,14,2,1,6,0,7,7,0,7,0,0,27
Claudia Fragapane,AJ Pritchard,Waltz,You Light Up My Life,14,2,2,6,0,8,8,0,8,0,0,30
Will Young,Karen Clifton,Jive,Rock Around The Clock,14,2,3,5,0,8,7,0,7,0,0,27
Lesley Joseph,Anton du Beke,Cha-cha-cha,"Perhaps, Perhaps, Perhaps",14,2,4,6,0,7,6,0,7,0,0,26
Greg Rutherford,Natalie Lowe,Tango,Jump,14,2,5,6,0,6,7,0,7,0,0,26
Tameka Empson,Gorka Márquez,Charleston,"Yes Sir, That's My Baby",14,2,6,7,0,7,8,0,7,0,0,29
Laura Whitmore,Giovanni Pernice,Waltz,If I Ain't Got You,14,2,7,8,0,8,8,0,8,0,0,32
Melvin Odoom,Janette Manrara,Tango,Moving On Up,14,2,8,5,0,6,6,0,6,0,0,23
Louise Redknapp,Kevin Clifton,Viennese Waltz,Hallelujah,14,2,9,8,0,8,8,0,8,0,0,32
Anastacia,Brendan Cole,Salsa,Sax,14,2,10,4,0,6,6,0,6,0,0,22
Ed Balls,Katya Jones,Charleston,The Banjo's Back in Town,14,2,11,3,0,6,7,0,7,0,0,23
Naga Munchetty,Pasha Kovalev,Cha-cha-cha,A Fool In Love,14,2,12,4,0,6,7,0,6,0,0,23
